Date,Open,High,Low,Close,Adj Close,Volume
23-04-20,1786,1891.699951,1768.050049,1876.900024,1812.223877,453645
24-04-20,1840.099976,1851.599976,1807.5,1818.300049,1755.643066,93384
27-04-20,1830.099976,1875,1825.949951,1837.300049,1773.988403,82109
28-04-20,1866.5,1867,1833,1859.400024,1795.326904,56291
29-04-20,1872.349976,1911.300049,1851,1905.199951,1839.548584,138273
30-04-20,1963,2030,1943,2014.849976,1945.420044,146238
04-05-20,1960,1965,1914.050049,1929.150024,1862.673462,117290
05-05-20,1960,1976,1926.150024,1931.5,1864.942383,67646
06-05-20,1935,1953.300049,1895.050049,1904.25,1838.631348,84763
07-05-20,1917,1934.75,1886.300049,1891.25,1826.079224,86388
08-05-20,1945,1945,1887,1893.5,1828.251709,64653
11-05-20,1920,1952.099976,1909.849976,1935.300049,1868.61145,212252
12-05-20,1928,1957.199951,1911.349976,1948.949951,1881.791016,97123
13-05-20,1999,1999,1926.300049,1949.449951,1882.273804,63153
14-05-20,1922,1922.400024,1892,1900.800049,1835.300293,67890
15-05-20,1908,1919,1867,1893.300049,1828.058716,72171
18-05-20,1901,1949.449951,1873.599976,1944.849976,1877.832397,97858
19-05-20,1869.5,1965.800049,1869.5,1948.25,1881.115234,547420
20-05-20,1945.199951,1963.099976,1932.800049,1952.449951,1885.17041,68859
21-05-20,1952.800049,1997,1942.050049,1991.550049,1922.923096,73577
22-05-20,1973,2030,1966,2018.949951,1949.378784,84400
26-05-20,2020,2022,1925,1943.349976,1876.383911,111751
27-05-20,1956.099976,2010,1941.199951,2005.099976,1936.006104,85566
28-05-20,1996.699951,2013,1971.25,2005.199951,1936.102661,110455
29-05-20,1995,2002.349976,1962.900024,1971.550049,1903.612305,222964
01-06-20,1995,2060,1982,2044.650024,1974.193481,129607
02-06-20,2054.899902,2081,2040,2046.900024,1976.365723,74927
03-06-20,2047.150024,2064,2019.599976,2045.349976,1974.869019,96580
04-06-20,2045.349976,2100,2045.349976,2093.899902,2021.746094,115956
05-06-20,2093.899902,2094.949951,2040.900024,2048.100098,1977.524536,133484
08-06-20,2073,2095,2062.600098,2071.399902,2000.021484,248364
09-06-20,2068.899902,2096.850098,2061.100098,2073.350098,2001.904541,72244
10-06-20,2073,2132.050049,2073,2108.300049,2035.650269,183320
